	sepal length (cm)	sepal width (cm)	petal length (cm)	petal width (cm)	target
0	116.07746176518852	114.12084127346449	112.32037802235602	111.26829547568687	0.0
1	116.6780861650845	113.75637848850411	112.12999329659719	111.46708565887974	0.0
2	116.67034770763064	114.24724070837539	112.34657173615544	111.22683077848207	0.0
3	115.84292994980481	115.26474035715775	112.51526937722154	111.57984391845073	0.0
4	116.52830324888245	114.56184532428965	112.30332344081913	111.31429582837096	0.0
5	116.34675871416937	114.30597344311329	112.00272708792727	111.11388945263585	0.0
6	115.89620189128607	114.07679346568048	112.18147137769719	111.32918212630764	0.0
7	115.81301034869962	114.87307949794224	112.35511983900591	111.27420315073788	0.0
8	115.86619068824875	114.9554880096212	112.17267631855404	111.57634703353953	0.0
9	116.32924023057139	114.85905127884546	112.24387569693967	111.5607040914593	0.0
10	115.47137319479415	114.19865990611797	112.78786692279219	111.57146689795044	0.0
11	116.1673317590963	114.8308804161461	112.88140651890859	111.11186187561002	0.0
12	115.47549393708714	113.33574365158975	112.87299159346748	111.49636770431461	0.0
13	115.36596118761966	114.8174526457651	112.36840704141657	111.27226955509192	0.0
14	115.33467160145211	113.41746039367983	112.27012561973523	111.26599512978292	0.0
15	116.62230547614385	113.42694671077147	112.63958171587042	111.16325402770896	0.0
16	116.53869288566192	113.83588814919557	112.5679521893961	111.2274286132991	0.0
17	116.33573095027154	114.25425177641118	112.87533758842336	111.44707331534794	0.0
18	116.43686344472438	113.95133334005459	112.73246666619019	111.30861766748187	0.0
19	116.4888340005753	114.85160271521798	112.88535974218806	111.52079632454883	0.0
20	116.09386934142503	114.33593977771804	112.4130877130826	111.41001158772647	0.0
21	115.36968743335748	113.99785662665711	112.61050993466432	111.20281270498195	0.0
22	115.39956520821494	115.17521519313314	112.79688438105036	111.1433705373499	0.0
23	116.67381317532245	113.75741332169207	112.19622624792316	111.14491124860787	0.0
24	116.41087466542933	114.48129672739238	112.06341361506581	111.55363970369484	0.0
25	115.52659104840461	114.20385761118959	112.44174934492891	111.13689667407593	0.0
26	116.46086397419351	113.73778418136808	112.83655441624185	111.53478040046834	0.0
27	116.34070457515078	113.41864237676623	112.77903932531305	111.22412950720351	0.0
28	116.3054987408697	115.22538463491182	112.6541489939114	111.18958931253243	0.0
29	115.5838895584933	113.9693252475495	112.03912119476882	111.50966568428042	0.0
30	115.62098706681874	114.78522659640649	112.87001104080963	111.25999920689938	0.0
31	116.70342295318129	114.89758395717983	112.57382204209918	111.22947853540597	0.0
32	116.56585176193413	113.60242722170841	112.63962398363027	111.50891801727933	0.0
33	116.22118583353559	113.39610780394123	112.11849087107353	111.43863498395532	0.0
34	116.73081470109912	113.81284366976747	112.54213725886369	111.56609317215582	0.0
35	116.3260788840351	114.61647637045016	112.73805221730925	111.10322211596674	0.0
36	116.25552067709293	113.96807414612685	112.04093139874252	111.35434886398919	0.0
37	116.50088167226771	113.85594228247761	112.62931347290055	111.24885602642823	0.0
38	116.01877975758472	115.38857014842468	112.16883421972909	111.20506403602745	0.0
39	115.31605699246919	115.09125905401014	112.31304341073339	111.58644604376234	0.0
40	115.4561934493338	113.93015755361483	112.56757270085492	111.21108680405383	0.0
41	116.48502631853945	114.07655904426281	112.0212149645132	111.37560779734251	0.0
42	115.74418941085045	115.15399269154152	112.39920012404401	111.11553423542054	0.0
43	116.34121699953664	114.89464969106413	112.61777168441427	111.18173390756732	0.0
44	115.78034537908434	114.5435470976698	112.26961245483658	111.45747335423339	0.0
45	116.58256358983924	114.96645676283279	112.12208912404088	111.10452448391464	0.0
46	115.70438376767156	114.72647185547903	112.11253068352524	111.30910107613636	0.0
47	115.93696698337972	115.07890658506511	112.42152913816398	111.52805146134166	0.0
48	116.51613929771064	113.5210725813771	112.18217844928122	111.53486289910467	0.0
49	115.5656801785705	113.32899112645447	112.00593805498012	111.42490310417692	0.0
50	115.40170122011358	114.664379732891	112.41617960523048	111.48531906746437	0.0
51	116.20803563926145	113.8848084859242	112.77225400506498	111.5070979753082	0.0
