	sepal length (cm)	sepal width (cm)	petal length (cm)	petal width (cm)	target
0	4.820869870845305	2.8572869121374365	1.3521991170936658	0.296889176002043	0.0
1	4.505801943096365	4.183407979885821	1.8212121637364334	0.12329789268301997	0.0
2	5.263930331116386	3.997398186207727	1.5009773550694105	0.35957780180375254	0.0
3	5.187738076140002	2.5622275071802676	1.1593691129319283	0.5926998196233826	0.0
4	4.569814640787369	3.9041093478449405	1.2669574385845237	0.43271620090145047	0.0
5	4.522941026579816	2.9234890285285617	1.2173998455368709	0.1964508856120206	0.0
6	5.405816911206965	4.254414041120482	1.4956675866104474	0.23253583690497806	0.0
7	4.346648887325778	4.208171455797393	1.0336368013085628	0.3537496933911327	0.0
8	4.83280807334217	3.2615144165516945	1.588980154704836	0.5608035685277474	0.0
9	4.422994944982117	4.275342638735319	1.5453647684477338	0.4641396730662045	0.0
10	4.990858889867844	3.9343868670508995	1.7096164746087346	0.5951453682493556	0.0
11	5.245072258565562	3.2899390460233153	1.4956330589119882	0.3469328421974326	0.0
12	4.441260570142446	3.6478655484405946	1.3639441390305582	0.36953559661018065	0.0
13	4.824014260679492	3.7335480094646902	1.7842218768048548	0.4608429805831471	0.0
14	5.046406452214836	3.0574112787992087	1.2286633009335768	0.2618961820871962	0.0
15	4.685973066220541	2.992456261000874	1.3058683611417057	0.1169825915991132	0.0
16	4.800985485581811	3.9851904951415515	1.1461509872113935	0.45519773400283225	0.0
17	4.816374597210686	3.5893602432192093	1.1109470940156647	0.30247257960299545	0.0
18	5.521990799981697	2.9077098643394956	1.79880951631826	0.27869482542170665	0.0
19	5.60195278921065	3.9082487442207103	1.3840743656348113	0.2403525676543967	0.0
20	5.75724563131609	4.112397639014666	1.4656107525476791	0.3249930999429591	0.0
21	5.24753594703818	3.7603994517100663	1.4258620778255908	0.48942009163100353	0.0
22	5.738427542756939	2.606301749540721	1.6518916125032894	0.5266745867386162	0.0
23	5.171622017017983	3.204611341332301	1.711847578089581	0.403540348148792	0.0
24	4.874724871690282	3.463650770480447	1.7976896503936812	0.26442616084365045	0.0
25	4.402270260646107	2.580413010866518	1.28619966989753	0.40011325816090304	0.0
26	4.924887049470236	2.6288705316485834	1.0617332706592277	0.4822062604050218	0.0
27	5.295990635584715	3.1295365445713843	1.336269144745178	0.5342068521978616	0.0
28	5.127826569616435	3.315282149306152	1.142171607967631	0.25066137098882	0.0
29	5.485663900524807	4.0627784096960395	1.218802634972067	0.20901169023595798	0.0
30	5.248601886042358	2.422135572876762	1.0821704416366669	0.5489168340901228	0.0
31	4.594610535333182	4.1647843285124875	1.6962618163141574	0.29626654820454357	0.0
32	4.561895391424914	2.8483567010991466	1.4719897091348588	0.514589345832816	0.0
33	4.496207857143806	2.4226897902315616	1.2327264930058546	0.4946924477176231	0.0
34	5.226434739640503	3.983931689087875	1.8355138789914558	0.2087025566906955	0.0
35	4.384443636820638	3.110202994423395	1.0976044241524274	0.18694910455456834	0.0
36	5.572919001467351	3.0208960181045996	1.666693740817629	0.35979933971605405	0.0
37	5.226068719621221	2.5766768198640917	1.0097409782057316	0.4039787686575056	0.0
38	4.56880465149308	4.200563171319162	1.7327242536925342	0.4729002266881619	0.0
39	4.406944305172609	4.152393122996241	1.7210722903289513	0.1378246321229998	0.0
40	5.789645229577925	3.201827096178428	1.713977345485655	0.504798600504505	0.0
41	5.441022452239443	4.021170258048073	1.305665158011435	0.10034391649542437	0.0
42	4.6667403705730415	4.250934961013601	1.7254466206235928	0.12913016469085767	0.0
43	5.445123623689128	3.7297485143192866	1.2521477867197337	0.2224883457839514	0.0
44	4.854184225555661	2.735729499116026	1.5842880713829557	0.2407624209316663	0.0
45	5.3904123959849475	2.4895619653168346	1.4346148799749712	0.29720735088910766	0.0
46	4.472772801270335	2.598700845412527	1.7942413969124855	0.41221183115374693	0.0
47	5.185625723416828	4.044336123081951	1.0257235532422948	0.2689557238935446	0.0
48	5.023335889767514	3.531244096279404	1.5005070106126537	0.4592674686348691	0.0
49	5.43208563455206	4.390712763231488	1.2125580816625763	0.1975143903751779	0.0
50	5.057517436975728	3.7257021628956255	1.2535604753024074	0.5137263962536419	0.0
51	5.037677210827371	2.81242822178956	1.1390629515930808	0.21013543012845556	0.0
52	5.23152262519421	4.175042085317099	1.7249358553336132	0.21685081372655654	0.0
53	5.062310900316363	3.8888798488104186	1.4353270320023872	0.530309566276289	0.0
54	5.722976175304113	2.6780889573862616	1.7194989490752715	0.3486003493335956	0.0
55	4.397610641234202	4.108916352652812	1.0076095838200776	0.4659988132117051	0.0
56	5.7906274267728595	3.741110777402351	1.2482280193840556	0.28893837800984734	0.0
57	5.196081548635393	4.281130677375617	1.3007613232406126	0.5389911677338357	0.0
58	4.738122107958675	2.783237315225613	1.5327970508175892	0.23799872072269354	0.0
59	5.226564696029831	3.867165006672891	1.7540080327036907	0.4153617365586284	0.0
60	5.7582391670867885	3.3814552067032784	1.440163817430149	0.2374282089732592	0.0
61	4.803389704124869	3.612624240876483	1.8167842418829196	0.5599497752347821	0.0
62	4.7987342004500135	2.520529148566465	1.2510776065362825	0.48985420866254026	0.0
63	5.1153464864159	3.3750934939666406	1.5956758822638553	0.26184503669442016	0.0
64	4.877924999106849	2.9394533385274646	1.0039394953634402	0.3921617458088251	0.0
65	5.757977215335385	3.9568444540487726	1.7088400219915993	0.2698099330212136	0.0
66	5.3126516325919075	3.1932011991906544	1.3896073953087007	0.41261444122828395	0.0
67	5.273353245400262	3.6285440722644986	1.508310209457525	0.2652646955544713	0.0
68	5.3289064868509595	2.34406218644785	1.224099222707472	0.30639164750991976	0.0
69	4.609439466171565	2.7457052723952997	1.8729023975371502	0.46594818786486847	0.0
70	5.029257707650641	3.421475932103288	1.2999936362005338	0.5909617527889368	0.0
71	5.170657885025992	2.6815775272464437	1.4386763626422256	0.5682865265146695	0.0
72	5.575955737219807	3.8729421547078857	1.2239402361600031	0.46148772500717794	0.0
73	4.857140653501403	4.378431763331607	1.267048273253296	0.4195264971083167	0.0
74	4.6540669634089475	4.158345800318955	1.75405456528506	0.21233005295058474	0.0
75	5.572651433530053	2.8423250742241253	1.0378959062777835	0.18385570830809664	0.0
76	4.9533022496725545	2.7134783341088022	1.5769631837018885	0.14898725341873023	0.0
77	5.723890541221629	3.5086074140264127	1.133014427581704	0.30849248146020547	0.0
